StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2007-11-08 14:00:58;2007-11-08 14:01:35;2007-11-08 14:01:35;00:00:01;00:00:37;0.99108;0.934305;1;35;0;0;0.99108;2.74953;0.99108;2.74953;0;0;1;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;34;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:36;2007-11-08 14:01:36;00:00:01;00:00:38;0.99108;0.93577;1;36;0;0;4.9554;2.80731;4.9554;2.80731;0;0;0;0;0;2;36;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;36;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:37;2007-11-08 14:01:37;00:00:01;00:00:39;0.99108;0.93716;1;37;0;0;0.99108;2.76082;0.99108;2.76082;0;0;1;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;36;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:38;2007-11-08 14:01:38;00:00:01;00:00:40;0.99108;0.93848;1;38;0;0;4.9554;2.81544;4.9554;2.81544;0;0;0;0;0;2;38;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;38;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:39;2007-11-08 14:01:39;00:00:01;00:00:41;0.99108;0.939736;1;39;0;0;0.99108;2.77102;0.99108;2.77102;0;0;1;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;38;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:40;2007-11-08 14:01:40;00:00:01;00:00:42;0.99108;0.940933;1;40;0;0;4.9554;2.8228;4.9554;2.8228;0;0;0;0;0;2;40;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;40;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:41;2007-11-08 14:01:41;00:00:01;00:00:43;0.99108;0.942074;1;41;0;0;0.99108;2.78027;0.99108;2.78027;0;0;1;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;40;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:42;2007-11-08 14:01:42;00:00:01;00:00:44;0.99108;0.943163;1;42;0;0;4.9554;2.82949;4.9554;2.82949;0;0;0;0;0;2;42;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;42;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:43;2007-11-08 14:01:43;00:00:01;00:00:45;0.99108;0.944204;1;43;0;0;0.99108;2.7887;0.99108;2.7887;0;0;1;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;42;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:44;2007-11-08 14:01:44;00:00:01;00:00:46;0.99108;0.9452;1;44;0;0;4.9554;2.8356;4.9554;2.8356;0;0;0;0;0;2;44;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;44;0;0;0;0;0;0;
